,Date,Tweet_ID,Message,Feeling
21,2020-10-30 22:05:47,1322298679919693824,THE ROCK IS STILL ALIVE https://t.co/gvChkbcsQj,positive
22,2020-10-30 21:12:27,1322285259874992128,RT @SheckJesus: New Sheck Wes snippet titled ‘RICH ONEDAY’ https://t.co/YLgCYWZVIu,positive
23,2020-10-30 21:09:40,1322284560361558016,2020 VISION 🇺🇸 https://t.co/Usl1fppN4r,neutral
24,2020-10-30 21:02:25,1322282733683372033,Dear Future started as an op-ed and turned into a VISION PRAYER 🕊 https://t.co/hN8Zhz5EUp,neutral
25,2020-10-30 19:01:51,1322252393036197889,"DEAR FUTURE, I STILL BELIEVE IN YOU      PRINTED IN THE NEW YORK TIMES THIS MORNING     https://t.co/3hGgcjHzRE https://t.co/7tlMR2wa0q",positive
26,2020-10-30 18:21:00,1322242112688058368,https://t.co/3hGgcjHzRE https://t.co/l1BJySj4TK,neutral
27,2020-10-29 21:34:17,1321928365570359297,EMPATHY IS THE GLUE,neutral
28,2020-10-29 18:03:55,1321875427065913345,NAH NAH NAH REMIX DABABY &amp; 2CHAINZ https://t.co/I0gaZJ0ft7,neutral
29,2020-10-29 05:16:24,1321682274149048320,"DEAR FUTURE, I STILL BELIEVE IN YOU     YEEZY CHRISTIAN ACADEMY https://t.co/GIlTHSCLJU",neutral
30,2020-10-28 18:11:02,1321514828469469184,We will heal https://t.co/pliy0PJQ9j,neutral
31,2020-10-28 03:50:34,1321298286964314117,EVERYDAY    JOEL’S NEW SERMONS ARE SUPER UPLIFTING AND INSPIRING      PRAISE GOD FOR THE MOTIVATION        JESUS ST… https://t.co/hAxwGtsvMm,positive
32,2020-10-28 02:35:18,1321279343843180544,Halloween coming 💀 https://t.co/4JaQA5YfYn,neutral
33,2020-10-27 23:47:32,1321237125040197632,🤔 I was at 31 million followers 4 weeks ago and now I’ve been held at 30.9 million followers for the last 4 weeks 🤔… https://t.co/GdA8OXqDqd,neutral
34,2020-10-27 17:10:43,1321137260406865920,"Just to be CLEAR: WE ARE IN ENGAGED WITH HAITI’s GOVERNMENT  to make a transformational INVESTMENT to bring  JOBS,… https://t.co/X6c8W7wkw0",positive
35,2020-10-26 16:48:05,1320769177116798977,Some Monday morning joy at YEEZY CHRISTIAN ACADEMY https://t.co/W23fMAazaS,positive
36,2020-10-24 17:41:28,1320057838555877380,https://t.co/rqKBrfNCME,neutral
37,2020-10-24 04:11:10,1319853917757296640,WRITE IN KANYE WEST    THERE IT IS https://t.co/HiJPrUIY9e,neutral
38,2020-10-23 00:58:47,1319443115107864577,HOW TO WRITE IN KANYE WEST https://t.co/lY4BVdTmdm,neutral
39,2020-10-22 22:45:59,1319409694528634887,GOD IS LOVE     LEADING WITH LIGHT          https://t.co/TlwzNXRTkL https://t.co/gWMLYLLiE1,positive
40,2020-10-21 17:26:10,1318966824126459904,Been doing empty stadiums    Happy 40th birthday!!!  I love you so much https://t.co/dCgHhzP2J8,positive
41,2020-10-20 19:59:15,1318642959160504320,VOTE KANYE https://t.co/sXrotfOHE3,neutral
42,2020-10-19 17:56:05,1318249575174451200,OUR BEAUTIFUL LIGHT CLEAR REALITY https://t.co/L0TCuSoSr4,positive
43,2020-10-19 06:15:33,1318073280713031680,DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE.   I HAD TO GIVE… https://t.co/nA3WSAYjix,positive
44,2020-10-19 04:12:30,1318042313642266625,RT @Maha_Sattva: If you believe in me and think that @kanyewest should let me give him this painting; please retweet this. I am 100% determ…,neutral
45,2020-10-18 19:13:24,1317906647726002176,Had to tweet the new ideas 🙈 https://t.co/rO5eyNt9wp,positive
46,2020-10-18 19:11:56,1317906276882378752,Food tasting at YCA    new menu going yaezeeeeeeeer https://t.co/qI3tfzjMwJ,positive
47,2020-10-18 19:10:43,1317905971318976513,GOD SAVE AMERICA https://t.co/1zDEZA3GhO,neutral
48,2020-10-18 18:59:39,1317903187420925952,The forces that our for you are greater than the forces coming against you - Joel Olsteen,positive
49,2020-10-18 18:49:59,1317900752950456320,👀 https://t.co/WBO5Bg1Da0,neutral
50,2020-10-18 18:33:44,1317896663801888768,"Pro-“LIFE”- eration, redemption, reparation, (attaching new tissue organically, rebuilding
Maturation:
     -  the… https://t.co/aEfrbcbuwS",positive
51,2020-10-18 18:33:15,1317896540967505920,"Stages of Healing:

The Wound: 
- acknowledging adverse impacts (societal, mental, physical, economic)
Inflammation… https://t.co/ipon3Tda3K",positive
52,2020-10-18 18:31:34,1317896118009696256,"H.E.A.L 
HOLDING EVERYBODY ACCOUNTABLE for LOVE ! -M1",positive
53,2020-10-18 18:18:03,1317892716542316545,I spoke to Dave Chapelle for two hours this morning.    He is our modern day Socrates,positive
54,2020-10-18 18:16:50,1317892410442014721,RT @Adele: https://t.co/hjhNsOTA75,neutral
55,2020-10-18 16:13:33,1317861386198818816,Jaden Smith Cool Tape Volume 3     I was driving this morning and saw this poster           I’m so proud of this ma… https://t.co/AiyEucTelU,positive
56,2020-10-18 13:25:16,1317819037036941313,Ive always said SNL uses black people to hold other black people back         My heart goes out to Issa Rae    I’m… https://t.co/95uF0K88tk,negative
57,2020-10-18 00:39:32,1317626330289262592,WRITE IN KANYE WEST https://t.co/0y1dgKth8Q,neutral
58,2020-10-17 22:04:05,1317587213199265797,My memories are from the future,neutral
59,2020-10-17 19:37:56,1317550429895622657,Joe Rogan said it’s cool for me to design the set for our podcast this Friday ⛷ https://t.co/9FOPjU36K3,positive
60,2020-10-17 15:15:03,1317484275638435841,IF I WOULD PUT MYSELF IN HARMS WAY TO GET MY MASTERS   THEY WOULD PUT THEMSELVES IN HARMS WAY TO STAY THE MASTER,neutral
61,2020-10-17 01:50:53,1317281898025070592,https://t.co/slgmEiEPCb,neutral
62,2020-10-16 20:50:17,1317206250774515712,Ideas happen twice   Once in your head    Once in reality  -BUJU BANTON         YEEZY IS SIMPLY A MIX OF HYPE WILLI… https://t.co/H0Px9yxjtN,neutral
63,2020-10-16 15:50:35,1317130827621421059,TODAY IS THE FIRST DAY OF EARLY VOTING IN LOUISIANA.   VOTE KANYE https://t.co/6A9toADSYq,positive
64,2020-10-16 15:47:27,1317130040551919623,I’M OFFICIALLY A WRITE-IN CANDIDATE IN THE STATE OF MARYLAND.  VOTE KANYE.    https://t.co/VVESmi75wN,neutral
65,2020-10-16 15:46:29,1317129798809014283,"The Town Halls last night showed two different sides of America. It’s time for healing.

“He himself bore our sins”… https://t.co/tof2LbmdbL",neutral
66,2020-10-15 14:04:01,1316741623682871297,Thank God for the favor the increase and these YEEZY SLIIIIIIIDZZZZ ⛷ thank Billboard awards for the 9 nominations… https://t.co/prC6bKLxiL,neutral
67,2020-10-15 12:20:25,1316715552015081472,RT @JESUSlSKING: #GODSAVEAMERICA @kanyewest https://t.co/MdwJPIRW9z,neutral
68,2020-10-15 12:19:59,1316715441990049793,RT @KimKardashian: 🎤🎤🎤🎤,neutral
69,2020-10-15 12:17:42,1316714865705259009,"RT @butsmallhead: We need president who put god will in priority 🙏 and love all people ❤️ @kanyewest is my president 🤝  small head, BIG HEA…",positive
70,2020-10-15 12:03:20,1316711254283694085,https://t.co/nEOd6Auz17,neutral
71,2020-10-15 12:01:50,1316710875823255554,https://t.co/PooGVJfmoi,neutral
72,2020-10-15 02:10:49,1316562141739089920,Love this game https://t.co/JiB3lKfbIQ,positive
73,2020-10-14 17:41:54,1316434065613115392,https://t.co/itT4uCNs8b         Praise God 🙏🏾 https://t.co/qsrv78ZFL9,neutral
74,2020-10-14 14:45:15,1316389610180751364,https://t.co/QVUnkXOlO5,neutral
75,2020-10-14 14:33:02,1316386535592337408,https://t.co/DRlix9mjvB,neutral
76,2020-10-14 14:29:40,1316385689462870016,"At least 600 are reported dead as of yesterday in the conflict 

Deaths mount in Armenia-Azerbaijan clashes amid truce calls",negative
77,2020-10-14 13:16:26,1316367262580977664,RT @ComplexMusic: Kid Cudi talks 'Kids See Ghosts' and HBO series 'We Are Who We Are' in new interview:  https://t.co/PsAsO03Ia6 https://t.…,positive
78,2020-10-14 13:09:08,1316365424712462337,RT @Jei_Siah: THIS IS MY GOAT PRESIDENT‼️🤍,neutral
79,2020-10-14 13:05:24,1316364485586808832,RT @excitebikee: Hi @kanyewest we need this bad bro🙏🏾🙏🏾🔥,negative
80,2020-10-14 13:05:21,1316364470025940993,"RT @HYPEBEAST: ""THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC NAH NAH NAH."" https://t.co/l5gbrS4V0G",positive
81,2020-10-14 12:40:11,1316358139105640456,"RT @TheLifeOfJulian: bro he dont MISS 14 years in still making hits, unreal",neutral
82,2020-10-14 12:40:09,1316358130985558016,RT @TheLifeOfJulian: bro WHAT this song is so hard,negative
83,2020-10-14 12:39:54,1316358068222021632,RT @TheLifeOfJulian: WE NEED THIS TOO YE!!,neutral
84,2020-10-14 12:36:31,1316357213703802883,RT @WORLDSTAR: #KanyeWest tryna get on the #JoeRogan show! Would y’all watch this?👇🤔 @kanyewest @joerogan https://t.co/otBWAlVg0B,neutral
85,2020-10-14 12:35:41,1316357003586031616,"RT @XXL: ⬇️ TODAY IN HIP-HOP ⬇️

1991: UMC’s release their debut album Fruits of Nature

What’s their best song? https://t.co/RScdbJkeRB",positive
86,2020-10-14 05:23:48,1316248318717030400,THE WHOLE TEAM IS SO ENERGIZED THAT I HAD TO RELEASE THEME MUSIC     NAH NAH NAH https://t.co/p3NhTV11cN,positive
87,2020-10-14 05:13:30,1316245727329222657,RT @sohh: YE 2020 AFTER ALL? Kanye West is leading Joe Biden and Donald Trump in Kentucky precinct voting polls 🇺🇸🗳 https://t.co/s29S1YTCrz,neutral
88,2020-10-14 04:43:36,1316238200864563200,My friend Eli’s hoodie       Love this https://t.co/75akNRvUr0,positive
89,2020-10-14 04:00:54,1316227457318416386,RT @ye4us: HOW TO WRITE IN @kanyewest FOR PRESIDENT OF THE UNITED STATES: https://t.co/dqry2VlxJ9,neutral
90,2020-10-14 03:54:54,1316225946479861760,PEOLE TRIED TO TALK ME OUT OF RUNNING FOR PRESIDENT... NEVER LET WEAK CONTROLLING PEOPLE KILL YOUR SPIRIT,negative
91,2020-10-14 03:52:36,1316225365728137216,GET THE WEST WING READY !!! ... this is how I felt when I saw that Kentucky pole result 🌎🌍🌏🪐💫☄️💥🔥🇺🇸 https://t.co/k9e87MGKZL,positive
92,2020-10-14 00:27:23,1316173724589060096,👀 https://t.co/DLXt0yv1Kh,neutral
93,2020-10-14 00:18:27,1316171472885313536,https://t.co/n7pLrR9pi5,neutral
94,2020-10-13 20:53:07,1316119798766428162,Thai horn melon https://t.co/BALbqpuwMg,neutral
95,2020-10-13 18:48:55,1316088546206248960,"My condolences to the family and the people of Manchester, Tennessee who lost their dedicated Mayor, Lonnie Norman to COVID-19.",neutral
96,2020-10-13 18:02:49,1316076945432481792,EARLY VOTING STARTS TODAY IN KENTUCKY     VOTE KANYE     https://t.co/UUB5pOT1OM,positive
97,2020-10-12 22:27:07,1315781067488423937,Friends writing me in ⛷ https://t.co/7GVXzYoHjt,neutral
98,2020-10-12 22:06:49,1315775959463653377,"I stand with my Nigerian brothers and sisters to end police brutality, the government must answer to the peoples cr… https://t.co/F7ZnmUy2Io",neutral
99,2020-10-12 21:30:33,1315766834046541825,https://t.co/ZURvTEW9ee  we stepping out on faith https://t.co/ypQfooB35w,neutral
